3G LV-SWP 320-850,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Series name: ,Filter @ 5 mm,,Filter @ 6.76 mm,,Filter @ 9.66 mm,,Filter @ 12.57 mm,,Filter @ 18.38 mm,,Filter @ 24.19 mm,,Filter @ 30 mm,,Filter @ 35.81 mm,,Filter @ 41.62 mm,,Filter @ 47.43 mm,,Filter @ 53.24 mm,,Filter @ 58 mm,
Quantity (unit): ,Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%)
,341,0.002327,341,8.622673,341,72.146702,381,81.494206,411,89.197257,441,93.127055,471,93.718268,501,91.184109,531,93.858555,561,94.845246,581,88.871032,595,88.654133
,342,-0.007368,342,3.605004,342,72.105888,382,81.43551,412,88.90812,442,92.713569,472,94.248846,502,90.996434,532,94.065731,562,94.703529,582,88.859881,596,87.486007
,343,-0.001773,343,1.411868,343,71.841677,383,81.38981,413,87.597402,443,92.414844,473,94.844312,503,90.955935,533,94.202369,563,94.2777,583,88.553509,597,87.10125
,344,0.002861,344,0.544703,344,71.831796,384,80.012813,414,86.912691,444,92.161831,474,94.773442,504,91.013945,534,94.085836,564,93.80256,584,88.19,598,87.35468
,345,0.003824,345,0.189405,345,72.656392,385,77.43106,415,87.452731,445,91.929521,475,94.032413,505,91.265229,535,93.751767,565,93.254916,585,87.726661,599,88.050661
,346,0.005391,346,0.066886,346,72.585656,386,75.928996,416,88.837039,446,91.869251,476,93.252326,506,91.661663,536,93.428918,566,92.730638,586,87.693192,600,88.41504
,347,-0.005397,347,0.010043,347,71.853229,387,76.909961,417,89.720874,447,92.182479,477,92.719094,507,92.398166,537,93.134228,567,92.137988,587,88.172021,601,88.103256
,348,0.007307,348,0.010381,348,71.311804,388,78.323778,418,89.403853,448,92.765677,478,92.596348,508,93.442649,538,93.053261,568,91.763125,588,89.011353,602,87.370265
,349,0.008467,349,0.007306,349,71.737153,389,77.43546,419,88.422262,449,93.314775,479,92.89056,509,94.450638,539,93.1607,569,91.682041,589,89.795226,603,86.231236
,350,-0.004159,350,0.000409,350,72.246024,390,73.323229,420,87.132098,450,93.879769,480,93.31747,510,95.369944,540,93.161453,570,91.532689,590,90.814308,604,85.574185
,351,-0.000477,351,0.003068,351,71.558128,391,68.230867,421,87.04728,451,94.004155,481,93.563188,511,96.043505,541,93.554689,571,91.781369,591,92.096899,605,85.393588
,352,0.007702,352,0.011383,352,69.8479,392,65.783534,422,87.992708,452,93.63024,482,93.409535,512,96.1126,542,94.259454,572,92.003921,592,93.319066,606,86.286833
,353,-0.010508,353,-0.009007,353,69.071785,393,66.64531,423,89.437718,453,93.424455,483,93.028817,513,95.940001,543,94.993002,573,92.629163,593,94.545288,607,87.736298
,354,0.006955,354,0.00525,354,70.287474,394,69.599262,424,90.163305,454,93.73899,484,92.842895,514,95.600904,544,95.578431,574,93.141807,594,95.467772,608,89.851721
,355,0.010542,355,0.005577,355,72.364857,395,71.54712,425,89.906333,455,94.218982,485,93.236138,515,94.894513,545,95.876906,575,93.595666,595,96.019811,609,92.199681
,356,-0.006869,356,-0.001292,356,74.083155,396,69.333639,426,89.292551,456,94.274529,486,93.978157,516,94.009956,546,95.795048,576,94.125133,596,96.424442,610,94.081115
,357,0.004015,357,0.003267,357,74.156666,397,60.200032,427,89.09524,457,93.617768,487,94.779774,517,93.227589,547,95.256325,577,94.536471,597,96.011334,611,95.090993
,358,0.001223,358,0.001223,358,73.416259,398,44.877166,428,89.478294,458,92.508706,488,95.712691,518,92.368697,548,94.506514,578,94.85012,598,95.501116,612,95.536066
,359,-0.010823,359,-0.007011,359,72.79859,399,28.790351,429,89.549114,459,91.328542,489,96.414794,519,91.450492,549,93.701904,579,94.887388,599,95.092394,613,95.266948
,360,0.005581,360,0.007011,360,71.792662,400,16.569341,430,88.641958,460,90.652457,490,96.44186,520,90.703787,550,93.27728,580,94.804435,600,94.710226,614,94.658282
,361,0.002452,361,0.000681,361,69.795982,401,8.690959,431,86.610334,461,90.769526,491,96.357788,521,90.038694,551,93.353642,581,94.307631,601,94.899197,615,93.911523
,362,-0.008646,362,-0.002246,362,67.980639,402,3.893002,432,84.632944,462,91.489838,492,96.487069,522,89.853654,552,93.47435,582,93.922359,602,95.364348,616,94.056819
,363,0.004079,363,0.003535,363,67.761291,403,1.40462,433,84.218787,463,92.322278,493,96.595534,523,90.172313,553,93.657824,583,93.777101,603,95.815238,617,94.688801
,364,0.005718,364,0.009054,364,68.599399,404,0.432054,434,85.429268,464,92.595423,494,96.411528,524,91.068236,554,93.508732,584,93.85739,604,96.308545,618,95.866953
,365,-0.011727,365,-0.011318,365,68.023678,405,0.129625,435,87.443063,465,91.933111,495,95.699376,525,92.387891,555,93.221219,585,94.027674,605,96.156377,619,96.792483
,366,0.003469,366,-0.00136,366,64.827798,406,0.046698,436,88.055544,466,90.93288,496,94.571321,526,93.819014,556,92.755973,586,94.335744,606,95.900945,620,97.433886
,367,0.00238,367,0.000952,367,61.296676,407,0.016231,437,85.568708,467,90.420331,497,93.348954,527,95.300902,557,92.21235,587,94.569375,607,95.132049,621,97.710981
,368,-0.007278,368,-0.007959,368,59.813541,408,0.019286,438,81.106707,468,90.791505,498,92.455686,528,96.402642,558,91.94247,588,94.427066,608,94.734274,622,97.006592
,369,-0.00436,369,-6.80E-05,369,60.608703,409,0.00356,439,77.112448,469,92.078998,499,92.172663,529,97.036771,559,91.969043,589,94.179953,609,94.578135,623,95.956614
,370,-0.004212,370,-0.002717,370,60.880121,410,-0.002838,440,75.699819,470,93.81348,500,92.446454,530,97.035255,560,92.906449,590,93.935376,610,94.694638,624,94.931143
,371,-0.002512,371,-0.003937,371,57.377154,411,0.006068,441,77.296652,471,94.801758,501,93.228216,531,96.684615,561,93.705371,591,93.762657,611,94.878568,625,94.131896
,372,-0.005222,372,-0.00529,372,47.815921,412,0.004553,442,80.888016,472,94.904099,502,94.183912,532,96.09282,562,95.027247,592,94.026672,612,95.28563,626,93.579688
,373,0.00251,373,0.005089,373,33.964831,413,0.001316,443,84.224832,473,94.502571,503,94.917996,533,95.515577,563,95.811758,593,94.296337,613,95.320449,627,94.051263
,374,0.003808,374,0.006392,374,20.280633,414,0.003427,444,85.706768,474,93.960552,504,95.270691,534,94.805738,564,96.304468,594,95.11131,614,95.115186,628,94.762887
,375,-0.001697,375,-0.010389,375,10.634602,415,0.00191,445,83.883491,475,93.822866,505,95.290875,535,94.010653,565,96.140057,595,95.441089,615,94.688344,629,95.54646
