Wavelength,Intensity
696.65689,3.53E+04
696.69599,3.53E+04
696.73509,3.53E+04
696.77419,3.54E+04
696.81329,3.55E+04
696.85239,3.57E+04
696.89150,3.58E+04
696.93060,3.58E+04
696.96970,3.59E+04
697.00880,3.60E+04
697.04790,3.60E+04
697.08700,3.60E+04
697.12610,3.59E+04
697.16520,3.60E+04
697.20430,3.60E+04
697.24340,3.62E+04
697.28250,3.62E+04
697.32160,3.62E+04
697.36070,3.61E+04
697.39980,3.61E+04
697.43891,3.61E+04
697.47801,3.60E+04
697.51711,3.59E+04
697.55621,3.59E+04
697.59531,3.59E+04
697.63441,3.60E+04
697.67351,3.60E+04
697.71261,3.58E+04
697.75171,3.57E+04
697.79081,3.56E+04
697.82991,3.55E+04
697.86901,3.55E+04
697.90811,3.53E+04
697.94721,3.52E+04
697.98631,3.52E+04
698.02542,3.51E+04
698.06452,3.51E+04
698.10362,3.49E+04
698.14272,3.46E+04
698.18182,3.44E+04
698.22092,3.43E+04
698.26002,3.42E+04
698.29912,3.42E+04
698.33822,3.40E+04
698.37732,3.38E+04
698.41642,3.36E+04
698.45552,3.35E+04
698.49462,3.34E+04
698.53372,3.31E+04
698.57283,3.27E+04
698.61193,3.26E+04
698.65103,3.24E+04
698.69013,3.23E+04
698.72923,3.22E+04
698.76833,3.19E+04
698.80743,3.16E+04
698.84653,3.13E+04
698.88563,3.10E+04
698.92473,3.08E+04
698.96383,3.06E+04
699.00293,3.03E+04
699.04203,3.01E+04
699.08113,2.99E+04
699.12023,2.98E+04
699.15934,2.96E+04
699.19844,2.92E+04
699.23754,2.88E+04
699.27664,2.85E+04
699.31574,2.82E+04
699.35484,2.80E+04
699.39394,2.78E+04
699.43304,2.75E+04
699.47214,2.73E+04
699.51124,2.69E+04
699.55034,2.65E+04
699.58944,2.63E+04
699.62854,2.61E+04
699.66764,2.58E+04
699.70674,2.54E+04
699.74585,2.51E+04
699.78495,2.49E+04
699.82405,2.47E+04
699.86315,2.44E+04
699.90225,2.40E+04
699.94135,2.36E+04
699.98045,2.31E+04
700.01955,2.29E+04
700.05865,2.28E+04
700.09775,2.25E+04
700.13685,2.21E+04
700.17595,2.17E+04
700.21505,2.13E+04
700.25415,2.11E+04
700.29326,2.10E+04
700.33236,2.06E+04
700.37146,2.02E+04
700.41056,1.98E+04
700.44966,1.96E+04
700.48876,1.95E+04
700.52786,1.92E+04
700.56696,1.88E+04
700.60606,1.84E+04
700.64516,1.80E+04
700.68426,1.78E+04
700.72336,1.76E+04
700.76246,1.73E+04
700.80156,1.69E+04
700.84066,1.65E+04
700.87977,1.62E+04
700.91887,1.61E+04
700.95797,1.59E+04
700.99707,1.55E+04
701.03617,1.51E+04
701.07527,1.48E+04
701.11437,1.46E+04
701.15347,1.45E+04
701.19257,1.41E+04
701.23167,1.38E+04
701.27077,1.35E+04
701.30987,1.32E+04
701.34897,1.30E+04
701.38807,1.28E+04
701.42717,1.25E+04
701.46628,1.21E+04
701.50538,1.19E+04
701.54448,1.16E+04
701.58358,1.14E+04
701.62268,1.13E+04
701.66178,1.10E+04
701.70088,1.07E+04
701.73998,1.04E+04
701.77908,1.02E+04
701.81818,1.01E+04
701.85728,9.77E+03
701.89638,9.52E+03
701.93548,9.29E+03
701.97458,9.03E+03
702.01369,8.88E+03
702.05279,8.74E+03
702.09189,8.46E+03
702.13099,8.21E+03
702.17009,7.96E+03
702.20919,7.70E+03
702.24829,7.58E+03
702.28739,7.47E+03
702.32649,7.26E+03
702.36559,7.06E+03
702.40469,6.83E+03
702.44379,6.70E+03
702.48289,6.57E+03
702.52199,6.36E+03
702.56109,6.16E+03
702.60020,5.96E+03
702.63930,5.75E+03
702.67840,5.65E+03
702.71750,5.55E+03
702.75660,5.38E+03
702.79570,5.21E+03
702.83480,5.00E+03
702.87390,4.81E+03
702.91300,4.73E+03
702.95210,4.65E+03
702.99120,4.50E+03
703.03030,4.34E+03
703.06940,4.18E+03
703.10850,4.10E+03
703.14761,4.03E+03
703.18671,3.88E+03
703.22581,3.73E+03
703.26491,3.57E+03
703.30401,3.43E+03
703.34311,3.38E+03
703.38221,3.32E+03
703.42131,3.20E+03
703.46041,3.06E+03
703.49951,2.93E+03
703.53861,2.81E+03
703.57771,2.76E+03
703.61681,2.71E+03
703.65591,2.60E+03
703.69501,2.49E+03
703.73412,2.39E+03
703.77322,2.30E+03
703.81232,2.26E+03
703.85142,2.21E+03
703.89052,2.11E+03
703.92962,2.01E+03
703.96872,1.93E+03
704.00782,1.89E+03
704.04692,1.85E+03
704.08602,1.76E+03
704.12512,1.69E+03
704.16422,1.62E+03
704.20332,1.55E+03
704.24242,1.52E+03
704.28152,1.48E+03
704.32063,1.41E+03
704.35973,1.35E+03
704.39883,1.29E+03
704.43793,1.24E+03
704.47703,1.21E+03
704.51613,1.18E+03
704.55523,1.12E+03
704.59433,1.08E+03
704.63343,1.02E+03
704.67253,9.98E+02
704.71163,9.76E+02
704.75073,9.31E+02
704.78983,8.94E+02
704.82893,8.51E+02
704.86804,8.11E+02
704.90714,7.91E+02
704.94624,7.72E+02
704.98534,7.29E+02
705.02444,6.98E+02
705.06354,6.72E+02
705.10264,6.37E+02
705.14174,6.19E+02
705.18084,6.02E+02
705.21994,5.75E+02
705.25904,5.57E+02
705.29814,5.30E+02
705.33724,5.16E+02
705.37634,5.03E+02
705.41544,4.80E+02
705.45455,4.69E+02
705.49365,4.45E+02
705.53275,4.21E+02
705.57185,4.12E+02
705.61095,4.03E+02
705.65005,3.93E+02
705.68915,3.74E+02
705.72825,3.56E+02
705.76735,3.40E+02
705.80645,3.33E+02
705.84555,3.26E+02
705.88465,3.14E+02
705.92375,3.06E+02
705.96285,2.93E+02
706.00196,2.75E+02
706.04106,2.70E+02
706.08016,2.66E+02
706.11926,2.58E+02
706.15836,2.49E+02
706.19746,2.40E+02
706.23656,2.34E+02
706.27566,2.29E+02
706.31476,2.25E+02
706.35386,2.17E+02
706.39296,2.09E+02
706.43206,2.09E+02
706.47116,2.06E+02
706.51026,2.04E+02
706.54936,1.94E+02
706.58847,1.90E+02
706.62757,1.81E+02
706.66667,1.70E+02
706.70577,1.69E+02
706.74487,1.69E+02
706.78397,1.71E+02
706.82307,1.63E+02
706.86217,1.58E+02
706.90127,1.59E+02
706.94037,1.60E+02
706.97947,1.48E+02
707.01857,1.45E+02
707.05767,1.43E+02
707.09677,1.41E+02
707.13587,1.37E+02
707.17498,1.33E+02
707.21408,1.31E+02
707.25318,1.29E+02
707.29228,1.30E+02
707.33138,1.21E+02
707.37048,1.24E+02
707.40958,1.27E+02
707.44868,1.19E+02
707.48778,1.21E+02
707.52688,1.16E+02
707.56598,1.12E+02
707.60508,1.10E+02
707.64418,1.09E+02
707.68328,1.10E+02
707.72239,1.05E+02
707.76149,1.03E+02
707.80059,1.01E+02
707.83969,9.90E+01
707.87879,9.70E+01
707.91789,9.30E+01
707.95699,9.70E+01
707.99609,8.60E+01
708.03519,8.70E+01
708.07429,8.80E+01
708.11339,8.60E+01
708.15249,8.50E+01
708.19159,8.20E+01
708.23069,7.80E+01
708.26979,7.70E+01
708.30890,7.60E+01
708.34800,7.80E+01
708.38710,8.00E+01
708.42620,7.60E+01
708.46530,7.10E+01
708.50440,6.60E+01
708.54350,6.80E+01
708.58260,6.30E+01
708.62170,6.30E+01
708.66080,6.30E+01
708.69990,6.10E+01
708.73900,6.00E+01
708.77810,6.00E+01
708.81720,6.00E+01
708.85630,5.80E+01
708.89541,5.00E+01
708.93451,5.00E+01
708.97361,5.00E+01
709.01271,5.40E+01
709.05181,4.70E+01
709.09091,5.20E+01
709.13001,4.70E+01
709.16911,4.70E+01
709.20821,4.70E+01
709.24731,4.10E+01
709.28641,4.50E+01
709.32551,4.30E+01
709.36461,4.00E+01
709.40371,3.80E+01
709.44282,3.80E+01
709.48192,4.10E+01
709.52102,3.00E+01
