Wavelength	Intensity
8.766862170088E+2	1.200000000000E+2
8.767448680352E+2	1.390000000000E+2
8.768035190616E+2	1.120000000000E+2
8.768621700880E+2	9.500000000000E+1
8.769208211144E+2	1.310000000000E+2
8.769794721408E+2	8.400000000000E+1
8.770381231672E+2	1.150000000000E+2
8.770967741935E+2	1.230000000000E+2
8.771554252199E+2	1.050000000000E+2
8.772140762463E+2	1.120000000000E+2
8.772727272727E+2	1.340000000000E+2
8.773313782991E+2	1.300000000000E+2
8.773900293255E+2	1.270000000000E+2
8.774486803519E+2	1.320000000000E+2
8.775073313783E+2	9.900000000000E+1
8.775659824047E+2	1.040000000000E+2
8.776246334311E+2	1.220000000000E+2
8.776832844575E+2	1.180000000000E+2
8.777419354839E+2	1.110000000000E+2
8.778005865103E+2	1.440000000000E+2
8.778592375367E+2	1.210000000000E+2
8.779178885630E+2	1.350000000000E+2
8.779765395894E+2	1.180000000000E+2
8.780351906158E+2	1.260000000000E+2
8.780938416422E+2	1.270000000000E+2
8.781524926686E+2	1.210000000000E+2
8.782111436950E+2	1.290000000000E+2
8.782697947214E+2	1.490000000000E+2
8.783284457478E+2	1.130000000000E+2
8.783870967742E+2	1.330000000000E+2
8.784457478006E+2	1.270000000000E+2
8.785043988270E+2	1.300000000000E+2
8.785630498534E+2	1.330000000000E+2
8.786217008798E+2	1.280000000000E+2
8.786803519062E+2	1.130000000000E+2
8.787390029326E+2	1.200000000000E+2
8.787976539589E+2	1.440000000000E+2
8.788563049853E+2	1.210000000000E+2
8.789149560117E+2	1.520000000000E+2
8.789736070381E+2	1.470000000000E+2
8.790322580645E+2	1.280000000000E+2
8.790909090909E+2	1.680000000000E+2
8.791495601173E+2	1.280000000000E+2
8.792082111437E+2	1.160000000000E+2
8.792668621701E+2	1.430000000000E+2
8.793255131965E+2	1.300000000000E+2
8.793841642229E+2	1.280000000000E+2
8.794428152493E+2	1.360000000000E+2
8.795014662757E+2	1.740000000000E+2
8.795601173021E+2	1.030000000000E+2
8.796187683284E+2	1.280000000000E+2
8.796774193548E+2	1.320000000000E+2
8.797360703812E+2	1.120000000000E+2
8.797947214076E+2	1.160000000000E+2
8.798533724340E+2	1.400000000000E+2
8.799120234604E+2	1.040000000000E+2
8.799706744868E+2	1.190000000000E+2
8.800293255132E+2	1.330000000000E+2
8.800879765396E+2	1.170000000000E+2
8.801466275660E+2	1.180000000000E+2
8.802052785924E+2	1.290000000000E+2
8.802639296188E+2	1.180000000000E+2
8.803225806452E+2	1.350000000000E+2
8.803812316716E+2	1.370000000000E+2
8.804398826979E+2	1.120000000000E+2
8.804985337243E+2	1.200000000000E+2
8.805571847507E+2	1.250000000000E+2
8.806158357771E+2	1.120000000000E+2
8.806744868035E+2	1.200000000000E+2
8.807331378299E+2	1.580000000000E+2
8.807917888563E+2	1.290000000000E+2
8.808504398827E+2	1.340000000000E+2
8.809090909091E+2	1.320000000000E+2
8.809677419355E+2	1.180000000000E+2
8.810263929619E+2	1.280000000000E+2
8.810850439883E+2	1.080000000000E+2
8.811436950147E+2	1.620000000000E+2
8.812023460411E+2	1.470000000000E+2
8.812609970674E+2	1.150000000000E+2
8.813196480938E+2	1.320000000000E+2
8.813782991202E+2	1.410000000000E+2
8.814369501466E+2	1.350000000000E+2
8.814956011730E+2	1.390000000000E+2
8.815542521994E+2	1.740000000000E+2
8.816129032258E+2	1.350000000000E+2
8.816715542522E+2	1.590000000000E+2
8.817302052786E+2	1.430000000000E+2
8.817888563050E+2	1.440000000000E+2
8.818475073314E+2	1.450000000000E+2
8.819061583578E+2	1.540000000000E+2
8.819648093842E+2	1.460000000000E+2
8.820234604106E+2	1.770000000000E+2
8.820821114370E+2	1.420000000000E+2
8.821407624633E+2	1.370000000000E+2
8.821994134897E+2	1.560000000000E+2
8.822580645161E+2	1.560000000000E+2
8.823167155425E+2	1.730000000000E+2
8.823753665689E+2	1.680000000000E+2
8.824340175953E+2	1.650000000000E+2
8.824926686217E+2	1.560000000000E+2
8.825513196481E+2	1.600000000000E+2
8.826099706745E+2	1.680000000000E+2
8.826686217009E+2	1.570000000000E+2
8.827272727273E+2	1.700000000000E+2
8.827859237537E+2	1.830000000000E+2
8.828445747801E+2	1.580000000000E+2
8.829032258065E+2	1.650000000000E+2
8.829618768328E+2	1.860000000000E+2
8.830205278592E+2	1.840000000000E+2
8.830791788856E+2	1.730000000000E+2
8.831378299120E+2	1.830000000000E+2
8.831964809384E+2	1.710000000000E+2
8.832551319648E+2	1.960000000000E+2
8.833137829912E+2	1.780000000000E+2
8.833724340176E+2	2.060000000000E+2
8.834310850440E+2	1.890000000000E+2
8.834897360704E+2	2.000000000000E+2
8.835483870968E+2	1.820000000000E+2
8.836070381232E+2	2.010000000000E+2
8.836656891496E+2	1.960000000000E+2
8.837243401760E+2	2.110000000000E+2
8.837829912023E+2	1.790000000000E+2
8.838416422287E+2	2.120000000000E+2
8.839002932551E+2	2.160000000000E+2
8.839589442815E+2	2.070000000000E+2
8.840175953079E+2	2.130000000000E+2
8.840762463343E+2	2.050000000000E+2
8.841348973607E+2	1.910000000000E+2
8.841935483871E+2	2.320000000000E+2
8.842521994135E+2	2.240000000000E+2
8.843108504399E+2	2.030000000000E+2
8.843695014663E+2	2.380000000000E+2
8.844281524927E+2	2.360000000000E+2
8.844868035191E+2	2.450000000000E+2
8.845454545455E+2	2.590000000000E+2
8.846041055718E+2	2.720000000000E+2
8.846627565982E+2	2.220000000000E+2
8.847214076246E+2	2.720000000000E+2
8.847800586510E+2	2.580000000000E+2
8.848387096774E+2	2.720000000000E+2
8.848973607038E+2	2.720000000000E+2
8.849560117302E+2	2.510000000000E+2
8.850146627566E+2	2.520000000000E+2
8.850733137830E+2	2.780000000000E+2
8.851319648094E+2	2.670000000000E+2
8.851906158358E+2	2.650000000000E+2
8.852492668622E+2	2.810000000000E+2
8.853079178886E+2	3.030000000000E+2
8.853665689150E+2	2.630000000000E+2
8.854252199413E+2	3.100000000000E+2
8.854838709677E+2	3.240000000000E+2
8.855425219941E+2	2.860000000000E+2
8.856011730205E+2	3.310000000000E+2
8.856598240469E+2	3.360000000000E+2
8.857184750733E+2	3.130000000000E+2
8.857771260997E+2	3.320000000000E+2
8.858357771261E+2	3.780000000000E+2
8.858944281525E+2	3.520000000000E+2
8.859530791789E+2	3.840000000000E+2
8.860117302053E+2	3.710000000000E+2
8.860703812317E+2	3.920000000000E+2
8.861290322581E+2	3.870000000000E+2
8.861876832845E+2	4.110000000000E+2
8.862463343109E+2	4.130000000000E+2
8.863049853372E+2	4.480000000000E+2
8.863636363636E+2	4.030000000000E+2
8.864222873900E+2	4.380000000000E+2
8.864809384164E+2	4.270000000000E+2
8.865395894428E+2	4.410000000000E+2
8.865982404692E+2	4.450000000000E+2
8.866568914956E+2	4.480000000000E+2
8.867155425220E+2	4.400000000000E+2
8.867741935484E+2	5.030000000000E+2
8.868328445748E+2	5.260000000000E+2
8.868914956012E+2	5.010000000000E+2
8.869501466276E+2	5.280000000000E+2
8.870087976540E+2	5.290000000000E+2
8.870674486804E+2	5.210000000000E+2
