K206156 LF103454 LVSWP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Series name: ,Sample 2E @ 2 mm,,Sample 2E @ 8 mm,,Sample 2E @ 20 mm,,Sample 2E @ 32 mm,,Sample 2E @ 44 mm,,Sample 2E @ 56 mm,,Sample 2E @ 68 mm,,Sample 2E @ 80 mm,,Sample 2E @ 86 mm,
Quantity (unit): ,? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%]
,666,0.000434,666,0.000305,666,0.000129,666,0.000258,666,0.009804,666,89.351102,666,97.911484,666,98.488558,666,96.935004
,668,0.00034,668,0.000422,668,0.000293,668,0.000399,668,0.009859,668,70.335051,668,98.221367,668,98.448778,668,96.472711
,670,0.000352,670,0.000563,670,0.000234,670,0.000129,670,0.010712,670,35.792901,670,98.006305,670,97.80435,670,96.630231
,672,0.000211,672,0.000586,672,0.000199,672,1.20E-05,672,0.01203,672,10.862676,672,97.424206,672,96.77822,672,97.164446
,674,0.000258,674,0.000246,674,0.000187,674,0.000105,674,0.013032,674,2.659079,674,96.893557,674,95.622599,674,97.587225
,676,0.000316,676,0.000269,676,0.000304,676,9.40E-05,676,0.012151,676,0.731679,676,96.618589,676,94.660573,676,97.469365
,678,0.000585,678,0.000538,678,0.000129,678,7.00E-05,678,0.009574,678,0.241994,678,96.743387,678,94.332982,678,97.123151
,680,0.000573,680,0.000819,680,7.00E-05,680,0.000129,680,0.007462,680,0.095439,680,96.998356,680,94.871981,680,96.927478
,682,0.000327,682,0.000573,682,0.000351,682,0.000292,682,0.006103,682,0.04308,682,97.396766,682,96.210272,682,97.299067
,684,0.000339,684,0.00014,684,0.000386,684,0.000245,684,0.005398,684,0.022047,684,97.823945,684,97.712169,684,98.096905
,686,0.000654,686,0.000117,686,0.000339,686,9.30E-05,686,0.005245,686,0.012967,686,98.129025,686,98.517339,686,98.699475
,688,0.001146,688,0.000257,688,0.000351,688,0.000339,688,0.004668,688,0.00861,688,97.810271,688,98.230653,688,98.517334
,690,0.002122,690,0.000129,690,0.000211,690,0.000141,690,0.003552,690,0.006072,690,96.854814,690,97.457161,690,97.514609
,692,0.003268,692,0.000258,692,0.000223,692,2.30E-05,692,0.002553,692,0.004708,692,95.459858,692,96.882152,692,96.064939
,694,0.002808,694,0.000714,694,0.000152,694,0.000222,694,0.001872,694,0.003931,694,94.532415,694,96.928376,694,94.767897
,696,0.001333,696,0.000316,696,9.40E-05,696,0.000129,696,0.00145,696,0.003707,696,94.705462,696,97.212978,696,94.139923
,698,0.000865,698,0.000117,698,8.20E-05,698,7.00E-05,698,0.001145,698,0.004371,698,95.757893,698,97.13577,698,94.497095
,700,0.000829,700,0.000432,700,1.20E-05,700,-4.70E-05,700,0.001016,700,0.005,700,96.950848,700,96.815222,700,95.745713
,702,0.000782,702,0.000584,702,0.000268,702,3.50E-05,702,0.000642,702,0.005988,702,97.625323,702,96.764724,702,97.304433
,704,0.000222,704,0.0007,704,0.000373,704,0.000152,704,0.000326,704,0.007543,704,97.608056,704,97.117012,704,98.387898
,706,0.00014,706,0.000734,706,0.00035,706,9.30E-05,706,0.000105,706,0.008459,706,97.455479,706,97.673868,706,98.667587
,708,0.000524,708,0.000559,708,0.000454,708,0.000314,708,0.000198,708,0.008313,708,97.401636,708,97.784865,708,98.223202
,710,0.000896,710,0.000302,710,0.000151,710,0.000326,710,0.000326,710,0.007271,710,97.397375,710,97.13597,710,97.54127
,712,0.000593,712,0.000174,712,-0.000105,712,1.20E-05,712,-1.20E-05,712,0.00577,712,97.615486,712,96.406939,712,97.236723
,714,0.000477,714,0.000302,714,0,714,-0.000186,714,-0.00014,714,0.004547,714,97.986865,714,96.352506,714,97.220474
,716,0.000418,716,0.000337,716,-0.000139,716,-0.000221,716,0.000174,716,0.003836,716,98.383383,716,97.155395,716,97.30658
,718,0.001022,718,0.000778,718,0.000174,718,0.000128,718,0.000372,718,0.00404,718,98.125052,718,98.071322,718,97.16762
,720,0.002054,720,0.002204,720,0.000499,720,0.00036,720,0.00058,720,0.00485,720,96.381068,720,98.301374,720,96.847367
,722,0.001403,722,0.003641,722,0.000174,722,8.10E-05,722,0.000429,722,0.005937,722,93.454958,722,97.584683,722,96.697004
,724,0.000556,724,0.003928,724,0.000336,724,4.60E-05,724,0.000324,724,0.007879,724,91.153327,724,96.509826,724,96.839657
,726,9.30E-05,726,0.002617,726,0.000174,726,0.000197,726,0.000232,726,0.010006,726,91.464286,726,95.922266,726,97.025539
,728,0.000729,728,0.001157,728,-0.000139,728,0.000289,728,0.000278,728,0.012023,728,93.661489,728,96.202314,728,97.106022
